Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000450	ALU71616.1	UDL02233.1
OG0000451	ALU71613.1	UDL02234.1
OG0000452	ALU73067.1, ALU71454.1	UDL00628.1
OG0000454	ALU68849.1, ALU71270.1	UDL02091.1
OG0000455	ALU70758.1, ALU68167.1	UDK99382.1
OG0000456	ALU68168.1, ALU70757.1	UDK99383.1
OG0000457	ALU72238.1	UDL00619.1
OG0000458	ALU67834.1	UDK99339.1
OG0000459	ALU72866.1	UDL01033.1, UDK99619.1
OG0000460	ALU70363.1	UDL00409.1
OG0000461	ALU72379.1	UDL00640.1, UDL01972.1
OG0000463	ALU71557.1	UDL01844.1
OG0000465	ALU72779.1, ALU70546.1	UDK99621.1
OG0000466	ALU71553.1, ALU68916.1	UDL01611.1
OG0000467	ALU72203.1	UDK99540.1
OG0000468	ALU70837.1	UDL00053.1
OG0000469	ALU70229.1, ALU70291.1	UDL00833.1
OG0000471	ALU70122.1, ALU69029.1	UDL01113.1
OG0000472	ALU71049.1, ALU73475.1	UDL00684.1
OG0000473	ALU72401.1	UDK99284.1
OG0000474	ALU70258.1, ALU72673.1	UDL00207.1
OG0000476	ALU72105.1, ALU72579.1	UDL01106.1
OG0000477	ALU71096.1	UDL01652.1, UDL00370.1
OG0000478	ALU71248.1, ALU71395.1	UDL01539.1
OG0000479	ALU69328.1, ALU68060.1	UDL00402.1
OG0000480	ALU71234.1, ALU71245.1	UDL00066.1
OG0000481	ALU72518.1, ALU70405.1	UDL00531.1
OG0000482	ALU69635.1	UDL01612.1, UDK99617.1
OG0000483	ALU69500.1, ALU70340.1	UDL00307.1
OG0000484	ALU72456.1, ALU68049.1	UDL00237.1
OG0000485	ALU69515.1, ALU70651.1	UDK99811.1
OG0000486	ALU69516.1	UDL00954.1
OG0000488	ALU70778.1, ALU71288.1	UDL00732.1
OG0000489	ALU70070.1, ALU73003.1	UDL00963.1
OG0000490	ALU71590.1	UDK99415.1
OG0000491	ALU71159.1	UDK99748.1, UDL00035.1
OG0000492	ALU70349.1	UDK99532.1, UDL01567.1
OG0000494	ALU71558.1	UDL00853.1, UDL00701.1
OG0000495	ALU68708.1, ALU71845.1	UDL00097.1
OG0000496	ALU68740.1, ALU68137.1	UDL00771.1
OG0000497	ALU70802.1	UDL01376.1
OG0000499	ALU71186.1	UDL01118.1
OG0000500	ALU70770.1, ALU68998.1	UDL00785.1
OG0000501	ALU69625.1, ALU68329.1	UDL00342.1
OG0000502	ALU70822.1	UDL01625.1
OG0000504	ALU71548.1, ALU72126.1	UDL01125.1
OG0000505	ALU68266.1, ALU73078.1	UDL01770.1
OG0000506	ALU70014.1	UDL00768.1
OG0000507	ALU67804.1	UDL00101.1
OG0000509	ALU70182.1	UDK99887.1, UDL01993.1
OG0000510	ALU71796.1	UDL00293.1, UDL00295.1
OG0000511	ALU71799.1, ALU70715.1	UDL01951.1
OG0000512	ALU72352.1, ALU72416.1	UDL00753.1
OG0000513	ALU69146.1	UDL00472.1, UDL00473.1
OG0000514	ALU68757.1	UDL01490.1, UDL00534.1
OG0000515	ALU68891.1	UDL01577.1, UDL02143.1
OG0000516	ALU70389.1, ALU69522.1	UDL01942.1
OG0000517	ALU70788.1, ALU68484.1	UDL01712.1
OG0000518	ALU68045.1	UDK99921.1, UDL01063.1
OG0000519	ALU67678.1, ALU72223.1	UDL01929.1
OG0000520	ALU69535.1, ALU68867.1	UDL01234.1
OG0000521	ALU69290.1	UDL01910.1
OG0000522	ALU71763.1	UDL01824.1
OG0000523	ALU70006.1, ALU70005.1	UDK99655.1
OG0000524	ALU70195.1, ALU72913.1	UDL01845.1
OG0000525	ALU68383.1	UDL01632.1
OG0000526	ALU67868.1, ALU71530.1	UDK99864.1
OG0000527	ALU72849.1, ALU68011.1	UDL00469.1
OG0000529	ALU69462.1, ALU71359.1	UDL00714.1
OG0000530	ALU69394.1, ALU67942.1	UDL02067.1
OG0000531	ALU70251.1	UDL00259.1
OG0000532	ALU68332.1, ALU71834.1	UDL00655.1
OG0000533	ALU69929.1, ALU70238.1	UDK99254.1
OG0000534	ALU72727.1, ALU70237.1	UDL00927.1
OG0000535	ALU72460.1	UDL00679.1
OG0000536	ALU68663.1, ALU68645.1	UDL01985.1
OG0000537	ALU69094.1	UDK99826.1
OG0000539	ALU69924.1	UDL00008.1
OG0000540	ALU72384.1, ALU71881.1	UDK99545.1
OG0000541	ALU69778.1, ALU68384.1	UDK99310.1
OG0000542	ALU68221.1, ALU70834.1	UDK99229.1
OG0000543	ALU72374.1	UDL00041.1, UDK99917.1
